"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
35.756466,6.04715,20.952163,23.671321,2.320897,20.549325,-3.620966,8.967727,36.763561,-9.562829,-33.430991,-20.137331,8.061341,-7.750057,-3.822385,0.709544,-5.836576,10.176242,-20.943008,-36.150149,11.989013,-3.822385,0.709544,13.499657,12.69398,-28.294804,9.068437,-2.110323,11.686885,-1.506066,28.30396,-4.82948,3.025864,28.505379,-11.979858,1.918059,-26.079194,-45.415427,14.708171,9.672694,-15.101854,2.220188,2.925154,5.442893,17.930877,6.953536,27.800412,-9.2607,41.59762,8.967727,1.61593,5.342183,-2.110323,18.635843,-18.525979,24.879835,11.686885,10.176242,5.845731,9.370565,44.417487,-17.015335,-27.388418,-8.958572,26.189059,0.004578,-14.296178,10.981918,9.068437,9.269856,-4.527352,-3.016709,-45.516136,-5.635157,-30.308995,1.515221,-4.225223,-21.043717,22.563516,48.747997,-3.721676,-8.455024,-5.937285,-8.354315,57.811856,-23.158618,-4.124514,29.512474,21.153582,-7.04509,-8.152895,2.320897,-6.239414,15.312428,-16.612497,-9.36141,-38.869307,7.054246,-28.999771,11.384756
39.2813,5.442893,23.268482,21.355001,-1.304646,18.535134,-14.699016,3.529412,39.885557,1.414511,-36.855116,-21.748684,7.557793,-12.281987,-7.447929,7.457084,0.004578,8.061341,-22.151522,-23.360037,17.628748,-7.1458,1.213092,8.26276,13.398947,-40.27924,6.852827,-5.735866,12.291142,4.133669,27.296864,-12.785535,6.04715,12.089723,-12.886244,2.623026,-23.460746,-44.71046,17.628748,9.068437,-11.67773,3.428702,6.953536,2.119478,16.118105,6.953536,25.685511,-7.951476,43.511101,12.996109,-1.808194,4.536507,-1.707485,25.584802,-17.317464,21.355001,-0.49897,10.47837,6.14786,5.644312,43.007553,-10.569925,-26.884871,-11.47631,12.492561,6.14786,-11.879149,8.564889,12.089723,9.370565,-1.606775,-1.405356,-42.092012,-14.900435,-29.906157,1.918059,-9.562829,-25.273518,18.837262,52.776379,-1.606775,-17.216754,-5.937285,-4.124514,55.797665,-24.367132,-4.426642,29.210346,13.801785,-7.447929,-7.750057,-5.333028,-3.419547,14.103914,-21.647974,-12.684825,-37.358663,10.981918,-26.683452,8.061341
36.058595,6.449988,30.51957,19.34081,-6.642252,14.90959,1.313802,10.57908,32.73518,15.815976,-29.704738,-21.245136,8.967727,-12.684825,-5.534447,10.075532,1.011673,4.838636,-15.605402,-3.620966,13.801785,-6.037995,2.320897,-9.059281,15.815976,-42.59556,6.550698,-5.735866,11.183337,5.946441,23.570611,-28.294804,2.723735,4.032959,-10.972763,6.248569,-24.87068,-50.551614,16.520943,2.421607,-14.799725,1.414511,2.018769,-0.700389,16.118105,4.939345,23.973449,-15.101854,41.899748,10.981918,-5.433738,-2.211032,0.508125,31.526665,-21.547265,20.750744,-15.605402,7.457084,12.593271,8.766308,54.589151,5.946441,-27.589838,-14.900435,11.485466,6.953536,-9.159991,5.140764,14.103914,10.780499,-8.656443,-4.023804,-43.501946,0.205997,-30.208286,3.227283,-14.900435,-24.87068,20.549325,57.207599,8.464179,-18.928817,0.508125,-3.620966,58.315404,-22.151522,0.709544,27.498283,22.462806,-7.951476,-6.138705,-15.504692,6.349279,10.679789,-24.165713,-10.066377,-23.057908,11.888304,-25.877775,8.766308
31.425956,4.234379,30.318151,14.406042,-3.117418,15.111009,8.766308,10.679789,16.722362,32.63447,-35.344472,-22.352941,15.312428,-13.490501,-8.253605,14.708171,3.428702,3.126574,-9.46212,14.808881,13.197528,0.910964,-1.203937,-24.971389,10.679789,-48.638132,7.457084,-6.037995,9.471275,4.536507,20.146487,-44.81117,-1.304646,-1.808194,-10.167086,6.248569,-24.76997,-43.401236,17.830167,1.61593,-9.2607,6.349279,-4.82948,0.910964,19.34081,2.119478,24.074159,-18.425269,42.604715,8.162051,-3.318837,-7.649348,0.508125,34.346532,-26.582742,16.823072,-30.611124,9.169146,17.22591,6.449988,60.833143,18.434424,-27.287709,-12.483406,-12.986954,5.241474,0.407416,7.255665,18.233005,4.737926,-11.57702,-5.735866,-38.869307,4.536507,-31.618219,2.623026,-18.22385,-27.08629,19.542229,56.401923,26.390478,-22.453651,-3.218128,-3.016709,63.451591,-19.835203,1.817349,19.542229,22.865644,-12.281987,-9.864958,-24.669261,12.69398,3.227283,-24.165713,-12.281987,-19.835203,11.284047,-27.186999,8.061341
30.217441,1.313802,40.791943,21.858549,-3.822385,9.874113,-8.052186,18.333715,19.44152,4.133669,-16.511788,-23.662165,13.298238,-17.216754,-11.979858,9.169146,-2.211032,0.306706,-13.389792,22.664225,12.895399,2.421607,-1.103227,-40.782788,11.485466,-43.804074,7.255665,-5.635157,10.47837,5.543603,15.111009,-58.507668,-7.347219,4.435798,-9.965667,4.234379,-26.98558,-29.402609,16.017395,-2.009613,0.608835,8.867018,-9.764248,-3.016709,21.355001,0.306706,22.764935,-15.605402,42.201877,7.154955,0.306706,-8.555734,1.011673,39.784848,-26.381323,17.427329,-35.042344,12.996109,20.750744,2.018769,51.064317,21.858549,-23.964294,-9.36141,5.543603,8.26276,-1.002518,10.780499,18.434424,4.737926,3.730831,-4.023804,-34.941634,9.874113,-28.294804,1.112383,-21.245136,-25.978485,21.153582,54.68986,43.208972,-18.828107,-4.728771,1.918059,58.617533,-21.849394,5.745022,7.054246,21.153582,-12.584115,-7.24651,-35.243763,10.57908,4.435798,-24.87068,-9.965667,-8.455024,12.79469,-27.186999,7.557793
21.959258,-10.267796,48.244449,14.607462,-5.937285,15.916686,-17.821012,15.111009,33.641565,1.71664,-16.108949,-21.144427,14.103914,-14.195468,-14.195468,1.112383,-5.0309,-6.239414,-11.375601,13.499657,7.960632,-0.49897,-3.419547,-46.019684,10.47837,-36.049439,3.93225,-1.908904,11.787594,8.665598,11.485466,-54.177157,-6.742962,11.082628,-12.785535,4.939345,-21.647974,-9.965667,10.780499,-1.808194,20.750744,7.054246,-12.785535,-1.606775,26.08835,0.407416,18.132296,-14.396887,40.489815,5.342183,0.709544,-8.253605,-1.506066,39.482719,-26.079194,20.952163,-31.819638,11.686885,18.132296,-2.009613,45.626001,22.059968,-21.748684,-5.937285,38.173495,7.054246,-8.757153,10.57908,20.650034,6.953536,11.686885,-14.598306,-31.920348,12.69398,-30.308995,-0.700389,-17.720302,-20.640879,20.750744,48.647288,53.783474,-14.699016,-6.239414,1.71664,55.193408,-20.943008,10.57908,-7.04509,20.952163,-11.778439,-12.382696,-40.27924,7.255665,3.327993,-24.165713,-10.267796,-7.750057,12.492561,-33.430991,6.349279
23.77203,-24.065003,42.101167,17.22591,-4.93019,11.586175,-19.331655,21.757839,30.116731,10.075532,-18.12314,-23.259327,13.398947,-12.483406,-17.821012,-3.117418,-2.009613,-3.016709,-13.89334,13.902495,9.672694,-1.506066,-7.447929,-44.307622,8.464179,-19.432364,1.112383,-6.138705,14.204623,7.356374,12.190433,-53.069352,-2.009613,21.55642,-13.69192,5.543603,-19.029526,4.133669,9.068437,5.442893,34.346532,6.449988,-10.368505,0.205997,28.404669,0.910964,20.851453,-11.57702,40.590524,6.248569,0.608835,-3.117418,0.608835,39.079881,-26.280613,18.333715,-25.978485,12.089723,12.69398,-4.527352,38.475624,20.045777,-19.331655,-5.635157,41.899748,8.26276,-16.00824,2.220188,20.146487,11.485466,-6.138705,-11.073472,-27.186999,14.506752,-29.503319,-0.297551,-21.345846,-21.748684,15.0103,47.338064,57.207599,-7.24651,-1.908904,4.637217,52.272831,-22.65507,13.398947,-15.806821,18.233005,-12.281987,-15.806821,-34.337377,7.759213,3.126574,-23.460746,-13.89334,-12.986954,8.061341,-34.538796,5.241474
27.901121,-42.49485,39.885557,18.333715,-11.57702,6.449988,-9.2607,24.577706,34.648661,28.807507,-17.821012,-22.453651,4.032959,-9.46212,-13.89334,0.004578,2.421607,-15.403983,-15.101854,10.176242,5.140764,-2.513161,-6.541543,-46.523232,5.543603,-2.211032,1.011673,-5.232319,13.902495,7.960632,13.801785,-49.846647,-1.103227,25.181964,-14.396887,4.838636,-16.108949,5.543603,6.752117,7.255665,39.2813,-3.620966,-12.584115,-0.700389,25.786221,1.213092,17.1252,-8.354315,35.857175,7.054246,1.414511,-3.218128,0.205997,35.252918,-21.849394,13.801785,-27.186999,8.36347,1.213092,-4.728771,40.993362,16.017395,-18.928817,-2.009613,43.007553,7.054246,-17.216754,-1.506066,20.146487,18.031586,-12.181277,-8.958572,-32.826734,5.644312,-29.805448,-3.520256,-17.116045,-19.533074,8.36347,49.050126,55.797665,6.550698,-2.311742,6.04715,56.099794,-20.943008,15.312428,-10.771344,19.038682,-13.994049,-18.324559,-25.777066,13.197528,2.220188,-19.331655,-12.080568,-2.009613,16.218814,-32.927443,3.428702
27.095445,-57.097734,31.627375,16.520943,-10.670634,2.824445,11.485466,16.017395,29.713893,15.111009,-41.890593,-26.179904,2.421607,-8.152895,-10.872053,0.910964,-1.304646,-9.663539,-10.872053,10.679789,2.925154,3.83154,-13.490501,-36.452277,1.918059,5.745022,2.018769,-4.023804,15.715267,5.745022,17.22591,-36.855116,-2.915999,30.620279,-12.785535,3.227283,-14.396887,1.112383,5.946441,4.737926,38.677043,-5.433738,-12.483406,4.335088,25.383383,1.918059,8.061341,-8.656443,33.842985,5.442893,1.313802,0.608835,2.119478,32.835889,-18.626688,6.04715,-26.98558,6.04715,-15.605402,-8.253605,43.71252,11.888304,-15.90753,-0.196841,32.63447,1.112383,-16.713207,2.421607,27.901121,22.362097,-14.497597,-11.778439,-32.625315,10.679789,-25.777066,-6.944381,-10.569925,-18.727398,11.686885,49.553674,53.682765,9.773403,1.515221,6.852827,52.272831,-20.741589,14.103914,-13.188373,21.858549,-10.771344,-20.036622,-15.001144,16.118105,-1.506066,-17.216754,-9.159991,-3.318837,17.930877,-28.294804,2.119478
34.145113,-65.758755,33.238727,17.427329,-7.649348,1.112383,-12.281987,21.858549,34.447242,14.607462,-36.351568,-27.287709,4.536507,-5.735866,-12.281987,1.213092,-5.433738,-13.087663,-8.253605,11.485466,4.032959,1.414511,-16.713207,-27.388418,0.709544,4.939345,4.838636,-1.002518,17.930877,5.442893,20.347906,-20.943008,-0.096132,29.512474,-13.89334,-0.49897,-10.569925,-3.016709,2.119478,9.571984,36.662852,-4.93019,-10.167086,5.745022,16.621652,3.025864,8.867018,-1.002518,34.74937,3.83154,2.018769,5.946441,2.925154,32.835889,-17.720302,0.910964,-18.324559,6.449988,-24.165713,-9.059281,44.316777,10.276951,-14.094759,3.227283,28.102541,-3.620966,-16.511788,4.737926,36.159304,22.261387,-12.986954,-9.764248,-26.179904,8.162051,-20.238041,-9.562829,-1.506066,-15.90753,14.003204,48.445869,49.654383,14.607462,3.025864,6.651408,51.668574,-18.022431,14.506752,-13.994049,25.886931,-8.857862,-20.540169,-6.843671,16.218814,1.011673,-18.928817,-11.57702,-4.325933,12.089723,-19.935912,2.925154
