"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
30.620279,21.153582,24.376287,8.26276,2.824445,-9.663539,23.973449,19.44152,-13.087663,40.086976,62.847333,-36.754406,11.384756,-18.022431,2.925154,5.442893,-9.46212,-77.038224,-27.08629,22.160677,4.536507,-34.840925,1.011673,16.923781,13.801785,15.0103,-35.646601,13.096818,9.571984,17.22591,19.743648,0.709544,-0.297551,-2.110323,12.492561,15.312428,-31.013962,12.69398,-4.527352,-22.957199
30.620279,22.059968,21.355001,10.377661,5.644312,-16.813916,23.671321,21.757839,-6.340124,40.489815,65.969329,-39.574273,15.513847,-17.720302,5.140764,3.93225,-10.167086,-82.980087,-24.76997,24.879835,3.126574,-31.51751,-1.506066,21.355001,11.787594,13.801785,-35.143053,3.428702,2.522316,21.052872,16.520943,2.723735,1.011673,0.910964,10.377661,9.068437,-32.423896,29.915312,5.845731,-16.310369
26.793316,18.031586,17.528038,12.69398,11.485466,-17.216754,25.886931,14.506752,4.637217,41.194781,67.782101,-45.214008,17.830167,-15.706111,9.169146,5.745022,-13.69192,-85.296407,-21.950103,22.160677,1.817349,-36.452277,2.018769,22.059968,10.276951,15.0103,-30.611124,17.830167,-2.110323,16.017395,11.384756,4.637217,2.824445,-2.110323,8.665598,5.140764,-34.035248,24.779126,6.248569,-13.289082
20.952163,14.305333,16.823072,16.520943,9.672694,-21.748684,27.498283,12.79469,13.398947,41.3962,66.472877,-44.307622,19.542229,-12.080568,8.36347,7.557793,-9.46212,-89.929046,-21.547265,18.837262,0.910964,-32.423896,1.414511,23.268482,10.47837,18.132296,-24.266423,1.213092,-1.606775,14.708171,7.859922,9.672694,4.737926,-2.311742,9.169146,-1.707485,-35.747311,24.577706,9.471275,-12.181277
16.621652,13.701076,19.542229,19.542229,11.384756,-25.374228,30.922408,14.90959,21.65713,45.525292,60.732433,-42.796979,20.952163,-10.670634,9.068437,8.36347,-9.36141,-94.662394,-24.76997,14.607462,-0.49897,-35.646601,-0.901808,24.074159,12.996109,22.362097,-22.856489,11.284047,1.011673,16.722362,4.939345,14.406042,7.356374,-1.002518,11.183337,-14.497597,-34.941634,30.720989,8.464179,-8.555734
11.183337,12.593271,18.937972,20.851453,12.996109,-20.540169,31.023117,18.635843,31.526665,46.028839,61.034562,-40.883497,22.664225,-10.167086,5.342183,7.356374,-10.368505,-96.173037,-21.043717,9.269856,-2.110323,-38.16434,3.730831,28.505379,14.506752,21.858549,-21.245136,4.435798,1.213092,14.708171,0.004578,18.233005,8.464179,0.407416,11.384756,-23.460746,-33.028153,41.59762,6.550698,-1.304646
2.824445,9.370565,12.895399,24.678416,15.111009,-25.172808,39.18059,15.916686,34.245823,40.086976,59.624628,-35.94873,27.095445,-10.066377,3.93225,3.126574,-14.799725,-95.065232,-24.467842,5.342183,-2.412451,-46.523232,5.442893,24.074159,18.233005,19.34081,-25.676356,3.227283,-4.124514,9.874113,-2.412451,18.535134,8.665598,4.133669,8.967727,-33.128863,-29.704738,60.228885,6.953536,12.190433
-6.239414,7.557793,17.427329,36.360723,16.118105,-21.748684,45.525292,16.118105,35.152209,37.871366,54.68986,-34.840925,31.123827,-13.69192,2.320897,4.536507,-17.317464,-92.144656,-22.151522,0.306706,-2.009613,-62.737469,9.471275,19.542229,20.952163,13.298238,-32.323186,4.435798,-3.721676,8.665598,-2.211032,18.937972,5.140764,3.93225,3.93225,-35.042344,-25.273518,30.116731,7.054246,17.830167
-13.490501,4.435798,20.146487,45.726711,20.549325,-26.784161,49.050126,19.542229,32.030213,37.972076,49.855802,-36.150149,31.627375,-12.886244,-0.398261,4.435798,-12.080568,-93.554589,-23.057908,-2.009613,-6.138705,-67.571527,7.960632,17.326619,23.469902,13.096818,-34.135958,-2.211032,-3.016709,4.939345,-8.555734,16.319524,4.133669,4.838636,-0.297551,-36.552987,-18.727398,8.162051,3.327993,20.549325
-19.029526,7.759213,22.664225,51.769284,24.577706,-33.63241,49.956512,25.484092,27.598993,36.562142,44.115358,-37.660792,28.404669,-14.094759,2.320897,3.529412,-13.188373,-90.835431,-22.957199,-0.901808,-5.131609,-71.499199,6.04715,19.844358,25.081254,5.442893,-30.711833,4.536507,0.608835,8.665598,-6.843671,9.068437,3.227283,5.140764,-2.009613,-41.286336,-11.778439,23.973449,3.730831,20.347906
-22.755779,0.910964,23.973449,53.582055,25.98764,-34.135958,43.108263,26.692607,25.282673,34.85008,41.59762,-36.452277,20.347906,-15.403983,4.032959,4.637217,-16.612497,-91.641108,-19.432364,-3.218128,-2.613871,-68.679332,5.845731,19.844358,23.469902,2.119478,-28.294804,7.658503,-0.398261,4.032959,-8.052186,2.220188,5.442893,3.025864,-7.850767,-32.826734,-7.649348,24.275578,1.112383,21.355001
-27.791257,-4.93019,22.563516,53.380636,25.383383,-38.970016,29.814603,22.966354,23.268482,29.210346,43.108263,-34.337377,14.204623,-14.396887,8.464179,1.71664,-19.533074,-87.814145,-21.245136,-3.520256,-1.707485,-57.097734,4.435798,14.90959,20.952163,0.810254,-30.913253,5.845731,-1.405356,-2.412451,-11.073472,-2.613871,9.571984,2.723735,-13.69192,-19.935912,-4.325933,33.138018,-0.297551,19.44152
-33.430991,-3.318837,19.945067,54.991989,24.074159,-40.480659,16.520943,24.376287,22.966354,31.828794,44.417487,-31.316091,11.082628,-12.382696,12.593271,1.213092,-19.935912,-89.224079,-23.259327,-3.318837,-2.915999,-59.111925,5.644312,15.111009,17.22591,1.011673,-33.833829,-15.706111,1.112383,1.515221,-11.073472,-2.513161,12.190433,3.83154,-19.432364,-8.857862,-2.110323,42.000458,-1.103227,17.930877
-42.897688,-3.520256,27.296864,50.560769,25.98764,-40.178531,-0.297551,23.77203,19.038682,31.828794,42.403296,-34.135958,0.910964,-12.080568,16.118105,2.623026,-21.144427,-88.619822,-20.842298,0.105287,-6.944381,-63.140307,4.536507,8.665598,12.391852,1.515221,-32.021058,-14.598306,1.61593,-0.801099,-8.857862,-3.620966,11.183337,1.011673,-25.273518,-2.311742,-3.016709,35.152209,-6.340124,17.628748
-44.408331,-4.225223,27.095445,45.323873,25.383383,-41.991302,-8.253605,27.196155,15.916686,28.20325,40.288395,-38.466468,3.730831,-10.771344,17.930877,2.723735,-22.050813,-87.209888,-19.935912,7.154955,-10.771344,-67.470817,8.967727,9.370565,3.83154,2.018769,-31.316091,-9.46212,3.428702,2.723735,-3.721676,-3.117418,9.068437,1.817349,-28.697643,-2.311742,-3.218128,39.986267,-10.267796,14.305333
-46.422522,-13.188373,25.685511,39.18059,25.383383,-40.480659,-3.318837,22.160677,10.276951,29.814603,37.669947,-42.796979,-0.49897,-12.181277,20.650034,2.119478,-21.245136,-83.685054,-17.418174,8.36347,-11.67773,-64.65095,10.47837,4.939345,-1.808194,2.119478,-37.056535,-2.211032,4.536507,-4.93019,4.335088,-2.513161,2.119478,3.327993,-34.438087,0.306706,-4.225223,36.562142,-12.382696,12.69398
-45.113298,-13.389792,25.181964,32.936599,27.498283,-39.473564,-9.46212,30.217441,9.471275,26.189059,37.468528,-43.703365,-1.707485,-12.986954,21.355001,2.220188,-19.230945,-80.663768,-14.598306,11.485466,-13.69192,-52.465095,10.981918,6.550698,-4.82948,-1.405356,-35.243763,5.644312,6.953536,-5.937285,7.457084,0.709544,0.810254,2.522316,-34.941634,-0.398261,-10.167086,31.425956,-18.324559,9.773403
-46.120394,-14.497597,17.628748,28.505379,32.030213,-37.560082,-6.340124,31.123827,10.57908,27.095445,36.260014,-50.148776,-7.447929,-12.785535,22.160677,1.918059,-17.518883,-76.433967,-10.670634,11.284047,-13.79263,-46.422522,11.284047,9.370565,-5.333028,-5.232319,-34.639506,-4.728771,11.082628,-2.613871,7.859922,3.83154,0.608835,2.522316,-37.660792,-0.801099,-16.108949,46.330968,-27.08629,8.26276
-49.846647,-18.626688,20.750744,27.196155,27.598993,-36.552987,-1.908904,28.404669,6.953536,22.160677,38.374914,-49.846647,-13.087663,-13.289082,23.973449,5.040055,-22.151522,-71.599908,-4.628061,9.169146,-12.785535,-41.387045,13.096818,12.190433,-1.506066,-16.310369,-32.121767,3.327993,17.1252,-0.196841,12.391852,9.269856,0.508125,2.723735,-37.257954,1.112383,-18.828107,41.49691,-27.589838,10.57908
-50.350195,-24.971389,19.542229,33.440146,23.570611,-33.330282,16.218814,28.20325,5.543603,22.160677,36.260014,-55.486381,-9.965667,-13.591211,24.678416,3.327993,-23.057908,-73.311971,-3.620966,1.515221,-10.569925,-31.51751,14.204623,10.176242,0.508125,-13.69192,-34.337377,10.780499,16.722362,-4.628061,12.391852,11.586175,1.515221,-0.196841,-38.06363,2.824445,-19.935912,39.986267,-34.438087,7.658503
-53.5729,-30.006867,23.570611,38.677043,18.937972,-33.63241,34.648661,20.650034,1.817349,20.347906,35.957885,-58.406958,-7.24651,-9.764248,28.606088,2.623026,-24.165713,-70.391394,-4.426642,-0.700389,-11.57702,-18.928817,15.111009,9.773403,5.241474,-15.202564,-37.962921,17.024491,18.535134,-5.333028,15.413138,16.319524,-2.513161,-0.901808,-34.639506,3.428702,-14.799725,35.051499,-35.042344,7.658503
-56.997025,-32.524605,21.153582,41.899748,20.146487,-31.114672,42.906844,30.116731,7.154955,23.167773,33.742275,-59.414054,-4.124514,-6.138705,27.397574,1.817349,-23.158618,-68.578622,-2.009613,-5.131609,-11.073472,-16.310369,13.801785,10.981918,2.925154,-16.108949,-33.531701,17.024491,16.218814,-3.218128,18.132296,18.031586,-2.311742,-1.103227,-34.740215,3.025864,-13.79263,36.159304,-37.257954,8.766308
-63.241016,-34.538796,18.233005,48.848707,17.930877,-27.589838,39.986267,27.901121,11.586175,19.038682,29.814603,-65.456626,-8.052186,-4.023804,22.160677,-1.002518,-22.65507,-65.255207,3.025864,-7.24651,-10.771344,-14.497597,9.874113,3.025864,0.709544,-12.785535,-36.452277,27.598993,20.448615,0.910964,21.65713,17.1252,-3.923095,-0.59968,-37.560082,1.313802,-12.281987,37.770657,-38.466468,7.054246
-68.880751,-40.984207,15.312428,57.308308,12.895399,-29.805448,36.058595,20.347906,15.111009,17.628748,30.51957,-67.168689,-5.333028,-2.009613,20.750744,-0.297551,-22.957199,-59.716182,4.737926,-7.750057,-10.368505,-15.403983,7.960632,2.320897,-9.2607,-7.447929,-34.538796,20.448615,26.894026,4.032959,23.671321,14.204623,-3.620966,4.133669,-34.740215,-3.117418,-7.24651,43.511101,-31.51751,8.464179
-75.326162,-43.199817,11.384756,65.163653,10.176242,-30.510414,38.777752,14.305333,17.628748,18.736553,28.505379,-67.470817,-9.864958,-3.923095,21.254292,-0.297551,-22.65507,-59.212635,6.14786,-8.555734,-4.82948,-16.713207,7.457084,0.105287,-18.727398,-0.398261,-35.545892,11.888304,27.901121,2.723735,27.498283,10.679789,-5.232319,1.011673,-33.531701,-4.728771,-5.534447,36.159304,-25.978485,4.637217
-79.656672,-45.113298,17.528038,64.962234,13.096818,-34.639506,38.072785,11.686885,20.045777,19.34081,28.908217,-66.86656,-10.469215,-5.937285,19.642939,3.630121,-27.287709,-60.32044,6.04715,-5.433738,-1.405356,-20.842298,12.190433,3.025864,-23.762875,0.910964,-36.955825,7.960632,35.857175,2.320897,24.074159,11.787594,-4.527352,-0.801099,-28.496223,-6.340124,-1.707485,36.662852,-19.734493,4.939345
-79.455253,-45.616846,12.089723,64.357977,13.096818,-31.013962,41.59762,7.356374,20.650034,20.045777,24.275578,-66.564431,-16.713207,-11.979858,15.614557,5.845731,-28.093385,-61.730373,7.960632,-5.0309,-0.297551,-22.856489,15.815976,9.068437,-22.755779,-5.735866,-35.84802,-0.801099,36.96498,3.83154,26.692607,13.197528,-4.225223,-2.110323,-28.194095,-7.24651,2.925154,28.505379,-13.289082,4.335088
-80.260929,-45.012589,10.47837,67.379263,9.068437,-28.294804,38.878462,3.327993,21.355001,17.830167,19.945067,-61.831083,-20.43946,-22.957199,7.960632,5.342183,-30.006867,-67.571527,9.370565,1.313802,-2.915999,-32.423896,16.218814,6.14786,-15.605402,-12.584115,-35.84802,7.658503,40.187686,8.464179,27.498283,14.808881,-7.447929,-4.023804,-26.683452,-11.47631,8.464179,23.87274,-8.757153,2.623026
-83.685054,-46.623941,9.068437,62.142367,7.960632,-22.856489,40.288395,5.644312,21.455711,15.211719,15.211719,-61.126116,-22.55436,-31.114672,5.241474,5.946441,-30.208286,-69.787137,5.745022,5.040055,-0.901808,-32.423896,12.391852,0.910964,-18.22385,-16.713207,-31.618219,4.536507,39.18059,8.867018,26.894026,12.996109,-7.951476,-5.836576,-24.065003,-11.67773,7.960632,26.08835,-5.635157,2.220188
-86.404212,-45.415427,8.061341,60.128176,4.737926,-24.467842,37.1664,7.356374,20.347906,13.600366,9.773403,-57.198444,-27.287709,-34.740215,13.600366,3.126574,-27.589838,-74.016938,1.61593,9.773403,-1.908904,-34.538796,10.679789,3.227283,-16.813916,-19.130236,-31.51751,5.342183,39.583429,15.111009,27.901121,11.183337,-8.354315,-6.843671,-18.828107,-12.584115,7.658503,24.275578,-0.49897,1.112383
-89.727627,-47.530327,11.686885,51.567864,7.154955,-27.287709,30.821698,4.939345,24.678416,17.22591,7.154955,-57.90341,-31.316091,-33.531701,18.434424,0.508125,-31.4168,-76.232548,-8.958572,10.57908,0.608835,-42.293431,8.665598,1.817349,-12.986954,-15.001144,-31.316091,6.651408,40.086976,13.096818,24.376287,9.571984,-6.742962,-6.138705,-16.612497,-8.656443,3.428702,22.059968,2.723735,1.112383
-86.70634,-48.738842,12.895399,47.539483,6.550698,-28.194095,24.577706,-5.937285,19.34081,13.499657,2.623026,-62.133211,-36.351568,-34.538796,13.298238,-3.016709,-32.121767,-78.448158,-21.849394,12.089723,0.004578,-35.243763,6.752117,-3.117418,-1.002518,-11.979858,-34.538796,11.384756,35.152209,16.923781,21.959258,8.766308,-7.548638,-5.333028,-13.79263,-11.073472,1.213092,10.47837,5.845731,0.205997
-88.015564,-49.544518,10.679789,47.942321,9.471275,-24.568551,19.44152,-16.108949,17.528038,12.69398,2.522316,-65.557336,-37.862211,-36.049439,12.190433,-6.239414,-33.128863,-80.260929,-29.3019,11.787594,-0.49897,-34.740215,6.449988,-4.325933,5.543603,-7.750057,-37.761502,6.651408,33.440146,20.952163,17.1252,8.464179,-9.46212,-8.555734,-8.757153,-14.497597,-1.405356,4.637217,7.557793,-1.304646
-90.231174,-53.67361,13.902495,44.417487,15.815976,-18.022431,18.132296,-18.22385,15.111009,5.745022,0.810254,-65.557336,-36.452277,-27.08629,8.967727,-6.239414,-28.395514,-80.764477,-28.899062,7.255665,0.407416,-31.618219,7.658503,-11.57702,2.320897,-6.037995,-41.084917,12.895399,30.217441,23.268482,12.593271,9.471275,-5.534447,-11.778439,-4.023804,-8.757153,-6.037995,12.291142,3.83154,-3.822385
-85.497826,-52.465095,13.701076,50.762188,19.240101,-16.310369,18.031586,-23.259327,14.103914,6.349279,-3.419547,-66.363012,-36.150149,-12.785535,10.276951,-7.1458,-24.669261,-82.577249,-22.453651,1.112383,-2.211032,-24.568551,11.284047,-11.47631,-3.016709,-4.82948,-42.293431,13.298238,35.051499,23.369192,8.162051,8.967727,-4.82948,-13.389792,2.522316,-8.052186,-5.0309,30.720989,0.709544,-8.052186
-78.246738,-51.155871,10.780499,54.085603,17.628748,-15.001144,20.247196,-30.812543,14.607462,7.054246,-7.850767,-65.154498,-32.927443,-0.59968,9.269856,-6.340124,-23.057908,-82.879377,-20.238041,-4.628061,-6.138705,-18.12314,14.103914,-6.440833,-7.649348,-3.923095,-36.351568,9.370565,30.116731,25.181964,5.040055,12.391852,-2.81529,-13.087663,5.342183,-5.635157,-0.196841,17.729457,-1.606775,-8.757153
-69.787137,-52.968643,15.916686,56.502632,17.528038,-16.713207,25.685511,-28.899062,17.22591,6.449988,-10.569925,-65.355917,-28.294804,2.824445,2.421607,-6.340124,-22.957199,-86.907759,-14.195468,-5.534447,-4.628061,-6.541543,15.111009,-11.47631,-6.138705,-3.218128,-33.63241,8.665598,26.994736,23.77203,-1.808194,12.895399,-3.721676,-11.57702,8.162051,-7.750057,6.752117,15.111009,-4.225223,-9.36141
-65.255207,-55.6878,10.57908,58.416113,16.722362,-12.584115,27.296864,-22.856489,16.722362,4.536507,-10.569925,-67.772946,-27.791257,3.83154,-0.398261,-3.620966,-21.547265,-87.814145,-3.419547,-7.347219,-1.506066,3.730831,14.90959,-6.541543,-5.836576,-4.124514,-36.653697,0.508125,29.411765,22.966354,-4.527352,13.398947,-2.71458,-5.937285,10.981918,-9.2607,13.197528,15.815976,-5.131609,-12.080568
-60.622568,-58.507668,8.867018,60.329595,16.319524,-13.89334,22.764935,-21.647974,15.111009,3.93225,-14.799725,-66.463722,-21.245136,7.255665,2.320897,-3.016709,-19.533074,-88.519112,16.923781,-6.340124,-2.81529,6.852827,14.90959,-5.232319,0.407416,-3.318837,-35.545892,-3.318837,34.245823,26.289769,-7.548638,9.571984,-1.203937,2.522316,15.0103,-7.850767,20.549325,12.895399,-6.440833,-8.857862
-55.88922,-55.78851,4.637217,63.350881,16.923781,-19.432364,22.160677,-23.863584,11.989013,3.630121,-16.310369,-64.348821,-19.633784,7.960632,3.83154,-3.721676,-24.165713,-83.181506,28.505379,-2.613871,-2.613871,11.686885,12.291142,-10.569925,0.105287,-2.513161,-34.538796,-1.405356,34.044404,26.08835,-7.1458,4.032959,-2.513161,8.061341,17.729457,-7.1458,27.397574,35.857175,-4.93019,-10.267796
-49.947356,-47.127489,1.817349,65.76791,12.492561,-22.957199,22.462806,-16.209659,7.557793,6.248569,-18.626688,-59.514763,-15.806821,10.780499,1.313802,-5.433738,-22.856489,-77.743191,30.318151,2.824445,-3.218128,10.981918,10.57908,-9.46212,3.630121,-4.426642,-36.250858,-8.152895,30.217441,31.123827,-5.0309,0.910964,-1.606775,12.291142,18.736553,-7.1458,35.454337,30.217441,-4.426642,-6.843671
-39.574273,-46.523232,-0.297551,62.041657,10.57908,-22.65507,23.067063,-14.094759,12.79469,6.14786,-17.821012,-54.982834,-18.425269,14.204623,2.723735,-12.080568,-21.345846,-73.211261,32.332341,8.867018,-0.49897,16.420233,9.672694,-13.289082,7.356374,-5.232319,-35.84802,-3.016709,31.828794,31.224536,-6.541543,-4.527352,-0.398261,9.874113,21.355001,-7.24651,39.583429,23.87274,-5.735866,-5.836576
-30.107576,-50.551614,-6.944381,59.22179,6.248569,-17.720302,20.247196,1.817349,14.708171,8.26276,-17.720302,-53.170062,-21.245136,14.103914,-2.311742,-13.89334,-16.813916,-70.592813,30.720989,14.808881,-0.801099,14.103914,9.571984,-5.433738,7.658503,-7.649348,-37.962921,-5.232319,33.842985,29.613184,-9.864958,-6.843671,0.508125,10.57908,26.692607,-4.93019,44.014649,27.196155,-6.642252,-6.340124
-19.734493,-55.385672,-10.972763,52.373541,2.522316,-12.886244,19.139391,4.939345,13.701076,9.169146,-20.238041,-54.378576,-25.777066,14.90959,-1.405356,-15.303273,-17.518883,-68.276494,34.74937,16.722362,-1.002518,7.859922,10.176242,-2.110323,13.398947,-8.656443,-36.452277,-3.520256,39.684138,29.311055,-18.22385,-7.850767,0.205997,9.874113,28.001831,-9.764248,43.913939,20.549325,-7.347219,-2.311742
-14.195468,-56.191348,-13.89334,46.532387,5.342183,-15.403983,16.420233,1.817349,9.874113,6.852827,-21.043717,-52.162966,-28.093385,11.284047,1.313802,-15.202564,-20.640879,-64.248112,31.828794,21.959258,-1.304646,1.817349,12.391852,-0.398261,9.370565,-5.534447,-33.330282,9.471275,34.145113,27.296864,-27.08629,-4.93019,-0.196841,7.356374,30.116731,-10.872053,44.518196,33.238727,-9.159991,1.61593
-10.267796,-47.127489,-8.455024,39.2813,8.061341,-13.994049,15.513847,5.342183,8.665598,7.255665,-20.741589,-52.465095,-28.798352,12.190433,2.623026,-12.986954,-19.432364,-59.716182,29.311055,20.549325,5.040055,-7.24651,12.593271,-1.103227,12.089723,-2.311742,-33.934539,8.26276,28.20325,25.484092,-32.423896,-4.82948,-1.203937,6.04715,30.41886,-11.57702,42.604715,35.252918,-11.57702,7.356374
